Kazan International Airport	Sochi International Airport	2
Kazan International Airport	Astrakhan Airport	2
Mineralnyye Vody Airport	Astrakhan Airport	2
Kazan International Airport	Chelyabinsk Balandino Airport	2
Tolmachevo Airport	Chelyabinsk Balandino Airport	4
Kazan International Airport	Domodedovo International Airport	8
Begishevo Airport	Domodedovo International Airport	2
Bugulma Airport	Domodedovo International Airport	2
Khrabrovo Airport	Belgorod International Airport	2
Kazan International Airport	Belgorod International Airport	2
Begishevo Airport	Heydar Aliyev International Airport	2
Pulkovo Airport	Kazan International Airport	6
Koltsovo Airport	Kazan International Airport	2
Begishevo Airport	Pulkovo Airport	2
Bugulma Airport	Pulkovo Airport	2
Koltsovo Airport	Begishevo Airport	2
Koltsovo Airport	Nizhnevartovsk Airport	4
Bugulma Airport	Nizhnevartovsk Airport	4
Koltsovo Airport	Novy Urengoy Airport	4
Koltsovo Airport	Tolmachevo Airport	10
Irkutsk Airport	Bratsk Airport	2
Tolmachevo Airport	Bratsk Airport	2
Irkutsk Airport	Chita-Kadala Airport	4
Bodaybo Airport	Irkutsk Airport	4
Tolmachevo Airport	Irkutsk Airport	6
Ust-Kut Airport	Irkutsk Airport	4
Lensk Airport	Irkutsk Airport	6
Yakutsk Airport	Irkutsk Airport	6
Tolmachevo Airport	Mirny Airport	3
Jorge Chávez International Airport	Coronel FAP Alfredo Mendivil Duarte Airport	4
Jorge Chávez International Airport	Alejandro Velasco Astete International Airport	9
Padre Aldamiz International Airport	Alejandro Velasco Astete International Airport	4
Jorge Chávez International Airport	Alferez Fap David Figueroa Fernandini Airport	4
Cap FAP David Abenzur Rengifo International Airport	Coronel FAP Francisco Secada Vignetta International Airport	4
Cadete FAP Guillermo Del Castillo Paredes Airport	Coronel FAP Francisco Secada Vignetta International Airport	4
Cap FAP David Abenzur Rengifo International Airport	Jorge Chávez International Airport	6
Cadete FAP Guillermo Del Castillo Paredes Airport	Jorge Chávez International Airport	6
Cadete FAP Guillermo Del Castillo Paredes Airport	Cap FAP David Abenzur Rengifo International Airport	2
Bobo Dioulasso Airport	Port Bouet Airport	2
Ouagadougou Airport	Port Bouet Airport	14
Ouagadougou Airport	Kotoka International Airport	2
Senou Airport	Port Bouet Airport	5
Léopold Sédar Senghor International Airport	Senou Airport	10
Ouagadougou Airport	Senou Airport	6
Ouagadougou Airport	Bobo Dioulasso Airport	2
Lomé-Tokoin Airport	Cadjehoun Airport	5
Ouagadougou Airport	Cadjehoun Airport	2
Ouagadougou Airport	Léopold Sédar Senghor International Airport	2
Ouagadougou Airport	Lomé-Tokoin Airport	4
Ouagadougou Airport	Diori Hamani International Airport	15
José Joaquín de Olmedo International Airport	El Dorado International Airport	4
Mariscal Sucre International Airport	El Dorado International Airport	8
José Joaquín de Olmedo International Airport	Alfonso Bonilla Aragon International Airport	4
San Cristóbal Airport	José Joaquín de Olmedo International Airport	8
Mariscal Sucre International Airport	José Joaquín de Olmedo International Airport	13
Mariscal Sucre International Airport	Francisco De Orellana Airport	4
Zürich Airport	Brindisi – Salento Airport	6
Zürich Airport	Bordeaux-Mérignac Airport	2
Zürich Airport	Bristol Airport	2
Gran Canaria Airport	Geneva Cointrin International Airport	1
Zürich Airport	Larnaca International Airport	6
Zürich Airport	Gran Canaria Airport	6
Zürich Airport	Marsa Alam International Airport	6
Tenerife South Airport	Geneva Cointrin International Airport	3
Lycksele Airport	Arvidsjaur Airport	4
Gällivare Airport	Stockholm-Arlanda Airport	4
Halmstad Airport	Stockholm-Arlanda Airport	2
Jönköping Airport	Stockholm-Arlanda Airport	2
Kramfors Sollefteå Airport	Stockholm-Arlanda Airport	4
Karlstad Airport	Stockholm-Arlanda Airport	2
Lycksele Airport	Stockholm-Arlanda Airport	4
Mariehamn Airport	Stockholm-Arlanda Airport	2
Örnsköldsvik Airport	Stockholm-Arlanda Airport	2
Pori Airport	Stockholm-Arlanda Airport	2
Sandefjord Airport, Torp	Stockholm-Arlanda Airport	2
Visby Airport	Stockholm-Arlanda Airport	4
Vilhelmina Airport	Stockholm-Arlanda Airport	4
Växjö Kronoberg Airport	Stockholm-Arlanda Airport	3
Kramfors Sollefteå Airport	Gällivare Airport	4
Jönköping Airport	Halmstad Airport	2
Växjö Kronoberg Airport	Halmstad Airport	2
Vilhelmina Airport	Hemavan Airport	4
Pori Airport	Kokkola-Pietarsaari Airport	2
Turku Airport	Mariehamn Airport	2
